"","Var1","X.x","Freq.x","X.y","Freq.y"
"1","AAK1",1,0,1,0
"2","AATK",2,1,2,1
"3","ABL1",3,2,7,1
"4","ABL2",4,3,8,0
"5","ACVR1",5,1,13,0
"6","ACVR1B",6,5,14,1
"7","ACVR1C",7,1,15,2
"8","ACVR2A",8,3,16,0
"9","ACVR2B",9,0,17,0
"10","ACVRL1",10,3,18,2
"11","ADRBK1",11,2,40,1
"12","ADRBK2",12,1,41,1
"13","AKT1",13,1,53,1
"14","AKT2",14,3,54,2
"15","AKT3",15,0,55,0
"16","ALK",16,1,57,1
"17","AMHR2",17,3,62,0
"18","ANKK1",18,0,66,0
"19","ARAF",19,0,71,1
"20","ATM",20,0,89,0
"21","ATR",21,0,95,0
"22","AURKA",22,1,97,1
"23","AURKB",23,1,98,0
"24","AURKC",24,0,99,2
"25","AXL",25,1,102,0
"26","BLK",26,0,134,2
"27","BMP2K",27,0,139,1
"28","BMPR1A",28,0,141,0
"29","BMPR1B",29,1,142,1
"30","BMPR2",30,1,143,1
"31","BMX",31,1,144,1
"32","BRAF",32,13,147,3
"33","BRSK1",33,4,157,1
"34","BRSK2",34,2,158,1
"35","BTK",35,2,160,0
"36","BUB1",36,0,162,0
"37","BUB1B",37,0,163,0
"38","CAMK1",38,0,177,0
"39","CAMK1D",39,2,178,1
"40","CAMK1G",40,1,179,0
"41","CAMK2A",41,1,180,0
"42","CAMK2B",42,1,181,0
"43","CAMK2D",43,1,182,0
"44","CAMK2G",44,3,183,0
"45","CAMK4",45,3,184,1
"46","CAMKK1",46,1,185,0
"47","CAMKK2",47,1,186,0
"48","CDC42BPA",48,2,238,0
"49","CDC42BPB",49,0,239,0
"50","CDC42BPG",50,1,240,0
"51","CDC7",51,0,242,0
"52","CDK1",52,0,248,0
"53","CDK10",53,1,249,1
"54","CDK11A",54,0,250,0
"55","CDK12",55,2,252,0
"56","CDK13",56,3,253,1
"57","CDK14",57,0,254,0
"58","CDK15",58,4,255,0
"59","CDK16",59,0,256,0
"60","CDK17",60,3,257,1
"61","CDK18",61,2,258,1
"62","CDK19",62,1,259,0
"63","CDK2",63,1,260,0
"64","CDK20",64,1,261,1
"65","CDK3",65,0,262,0
"66","CDK4",66,1,263,1
"67","CDK5",67,2,264,0
"68","CDK6",68,0,265,1
"69","CDK7",69,2,266,0
"70","CDK8",70,3,267,3
"71","CDK9",71,0,268,0
"72","CDKL1",72,2,269,0
"73","CDKL2",73,1,270,1
"74","CDKL3",74,0,271,0
"75","CDKL4",75,2,272,1
"76","CDKL5",76,1,273,0
"77","CHEK1",77,1,288,0
"78","CHEK2",78,5,289,3
"79","CHUK",79,1,296,0
"80","CIT",80,0,299,1
"81","CLK1",81,1,300,0
"82","CLK2",82,0,301,1
"83","CLK3",83,0,302,0
"84","CLK4",84,0,303,0
"85","CSF1R",85,0,328,0
"86","CSK",86,0,332,1
"87","CSNK1A1",87,2,334,1
"88","CSNK1A1L",88,1,335,1
"89","CSNK1D",89,2,336,2
"90","CSNK1E",90,6,337,0
"91","CSNK1G1",91,1,338,1
"92","CSNK1G2",92,1,339,0
"93","CSNK1G3",93,3,340,1
"94","CSNK2A1",94,3,341,0
"95","CSNK2A2",95,2,342,0
"96","DAPK1",96,2,378,1
"97","DAPK2",97,1,379,0
"98","DAPK3",98,0,380,0
"99","DCLK1",99,1,384,1
"100","DCLK2",100,2,385,1
"101","DCLK3",101,1,386,0
"102","DDR1",102,2,389,0
"103","DDR2",103,1,390,0
"104","DMPK",104,3,409,0
"105","DSTYK",105,0,418,0
"106","DYRK1A",106,2,422,1
"107","DYRK1B",107,1,423,0
"108","DYRK2",108,0,424,0
"109","DYRK3",109,7,425,0
"110","DYRK4",110,1,426,1
"111","EGFR",111,5,435,0
"112","EIF2AK1",112,0,437,0
"113","EIF2AK2",113,0,438,0
"114","EIF2AK3",114,2,439,0
"115","EIF2AK4",115,1,440,0
"116","EPHA1",116,1,461,0
"117","EPHA2",117,2,463,3
"118","EPHA3",118,4,464,2
"119","EPHA4",119,2,465,0
"120","EPHA5",120,2,466,0
"121","EPHA6",121,1,467,1
"122","EPHA7",122,3,468,1
"123","EPHA8",123,0,469,0
"124","EPHB1",124,10,470,1
"125","EPHB2",125,2,471,0
"126","EPHB3",126,1,472,0
"127","EPHB4",127,3,473,0
"128","ERBB2",128,2,477,0
"129","ERBB4",129,4,479,1
"130","ERN1",130,1,488,0
"131","ERN2",131,6,489,0
"132","FER",132,4,528,1
"133","FES",133,3,529,0
"134","FGFR1",134,3,537,0
"135","FGFR2",135,3,539,2
"136","FGFR3",136,2,540,0
"137","FGFR4",137,1,541,0
"138","FGR",138,1,542,1
"139","FLT1",139,1,553,1
"140","FLT3",140,0,554,0
"141","FLT4",141,2,555,0
"142","FRK",142,2,569,1
"143","FYN",143,1,575,0
"144","GAK",144,1,579,0
"145","GRK1",145,0,617,2
"146","GRK4",146,1,618,1
"147","GRK5",147,0,619,0
"148","GRK6",148,1,620,0
"149","GRK7",149,3,621,1
"150","GSK3A",150,3,623,1
"151","GSK3B",151,4,624,1
"152","HCK",152,3,632,1
"153","HIPK1",153,0,646,1
"154","HIPK2",154,0,647,2
"155","HIPK3",155,1,648,1
"156","HIPK4",156,4,649,0
"157","HUNK",157,0,678,0
"158","ICK",158,0,680,0
"159","IGF1R",159,0,687,0
"160","IKBKB",160,1,689,0
"161","IKBKE",161,2,690,0
"162","INSR",162,1,711,0
"163","INSRR",163,1,712,1
"164","IRAK1",164,0,713,1
"165","IRAK3",165,1,715,0
"166","IRAK4",166,0,716,0
"167","ITK",167,0,730,0
"168","JAK1",168,2,735,2
"169","JAK2",169,1,736,0
"170","JAK3",170,3,737,0
"171","KALRN",171,0,743,1
"172","KDR",172,1,748,0
"173","KIAA1804",173,4,753,1
"174","KIT",174,0,755,0
"175","LATS1",175,2,767,0
"176","LATS2",176,2,768,0
"177","LCK",177,0,769,1
"178","LIMK1",178,2,779,2
"179","LIMK2",179,1,780,1
"180","LMTK2",180,0,786,0
"181","LMTK3",181,0,787,0
"182","LRRK1",182,1,799,0
"183","LRRK2",183,2,800,0
"184","LTK",184,1,804,0
"185","LYN",185,3,806,0
"186","MAK",186,1,811,0
"187","MAP2K1",187,0,817,2
"188","MAP2K2",188,0,818,0
"189","MAP2K3",189,1,819,1
"190","MAP2K4",190,5,820,1
"191","MAP2K5",191,4,821,0
"192","MAP2K6",192,1,822,0
"193","MAP2K7",193,8,823,2
"194","MAP3K1",194,1,824,1
"195","MAP3K10",195,2,825,0
"196","MAP3K11",196,0,826,0
"197","MAP3K12",197,0,827,0
"198","MAP3K13",198,2,828,1
"199","MAP3K14",199,0,829,2
"200","MAP3K19",201,0,830,1
"201","MAP3K2",202,0,831,0
"202","MAP3K3",203,0,832,0
"203","MAP3K4",204,3,833,1
"204","MAP3K5",205,0,834,1
"205","MAP3K6",206,0,835,0
"206","MAP3K7",207,3,836,1
"207","MAP3K8",208,2,837,1
"208","MAP3K9",209,1,838,0
"209","MAP4K1",210,1,839,0
"210","MAP4K2",211,1,840,0
"211","MAP4K3",212,1,841,0
"212","MAP4K4",213,4,842,1
"213","MAP4K5",214,0,843,1
"214","MAPK1",215,2,844,1
"215","MAPK10",216,2,845,1
"216","MAPK11",217,1,846,0
"217","MAPK12",218,0,847,0
"218","MAPK13",219,0,848,0
"219","MAPK14",220,1,849,1
"220","MAPK15",221,1,850,0
"221","MAPK3",222,0,851,0
"222","MAPK4",223,3,852,0
"223","MAPK6",224,0,853,0
"224","MAPK7",225,3,854,0
"225","MAPK8",226,2,855,1
"226","MAPK9",227,3,857,1
"227","MAPKAPK2",228,1,858,2
"228","MAPKAPK3",229,3,859,1
"229","MAPKAPK5",230,1,860,1
"230","MARK1",231,0,862,1
"231","MARK2",232,1,863,1
"232","MARK3",233,0,864,1
"233","MARK4",234,0,865,0
"234","MAST1",235,0,867,0
"235","MAST2",236,2,868,0
"236","MAST3",237,2,869,0
"237","MAST4",238,1,870,1
"238","MASTL",239,0,871,0
"239","MATK",240,1,872,0
"240","MELK",241,0,885,1
"241","MERTK",242,6,887,0
"242","MET",243,1,888,1
"243","MINK1",244,2,894,0
"244","MKNK1",245,0,897,0
"245","MKNK2",246,0,898,0
"246","MOS",248,1,918,0
"247","MST1R",249,0,929,3
"248","MTOR",250,0,933,0
"249","MUSK",251,2,936,1
"250","MYLK",252,1,948,0
"251","MYLK2",253,0,949,0
"252","MYLK3",254,0,950,0
"253","MYLK4",255,2,951,0
"254","MYO3A",256,7,953,1
"255","MYO3B",257,0,954,0
"256","NEK1",258,1,974,0
"257","NEK10",259,1,975,0
"258","NEK11",260,1,976,0
"259","NEK2",261,1,977,0
"260","NEK3",262,0,978,0
"261","NEK4",263,0,979,0
"262","NEK5",264,2,980,0
"263","NEK6",265,2,981,0
"264","NEK7",266,0,982,0
"265","NEK8",267,1,983,1
"266","NEK9",268,2,984,1
"267","NLK",270,1,998,0
"268","NRK",271,1,1025,0
"269","NTRK1",272,4,1027,0
"270","NTRK2",273,2,1028,1
"271","NTRK3",274,2,1029,0
"272","NUAK1",275,1,1031,2
"273","NUAK2",276,0,1032,0
"274","OBSCN",277,0,1042,0
"275","OXSR1",278,0,1054,0
"276","PAK1",279,1,1059,0
"277","PAK2",280,0,1060,0
"278","PAK3",281,3,1061,0
"279","PAK4",282,1,1062,0
"280","PAK6",283,0,1063,0
"281","PAK7",284,3,1064,1
"282","PASK",285,3,1070,0
"283","PBK",286,0,1078,0
"284","PDGFRA",287,1,1090,0
"285","PDGFRB",288,0,1091,0
"286","PDIK1L",289,1,1092,0
"287","PDPK1",290,0,1097,0
"288","PHKG1",291,2,1106,2
"289","PHKG2",292,3,1107,1
"290","PIK3R4",293,2,1125,0
"291","PIM1",294,0,1127,0
"292","PIM2",295,0,1128,0
"293","PIM3",296,0,1129,0
"294","PINK1",297,3,1130,0
"295","PKDCC",298,0,1138,0
"296","PKMYT1",299,0,1140,0
"297","PKN1",300,0,1141,0
"298","PKN2",301,3,1142,0
"299","PKN3",302,0,1143,0
"300","PLK1",303,1,1151,0
"301","PLK2",304,0,1152,0
"302","PLK3",305,1,1153,0
"303","PLK4",306,0,1154,0
"304","PNCK",307,3,1159,0
"305","PRKAA1",308,1,1184,0
"306","PRKAA2",309,2,1185,0
"307","PRKACA",310,0,1186,0
"308","PRKACB",311,3,1187,0
"309","PRKACG",312,3,1188,0
"310","PRKCA",313,4,1191,0
"311","PRKCB",314,2,1192,2
"312","PRKCD",315,0,1193,0
"313","PRKCE",316,0,1194,0
"314","PRKCG",317,3,1195,2
"315","PRKCH",318,0,1196,0
"316","PRKCI",319,3,1197,1
"317","PRKCQ",320,3,1198,0
"318","PRKCZ",321,1,1199,0
"319","PRKD1",322,1,1200,1
"320","PRKD2",323,2,1201,0
"321","PRKD3",324,1,1202,0
"322","PRKDC",325,0,1203,0
"323","PRKG1",326,6,1204,1
"324","PRKG2",327,2,1205,1
"325","PRKX",328,1,1206,0
"326","PRPF4B",329,0,1208,0
"327","PSKH1",330,1,1214,0
"328","PTK2",331,0,1221,0
"329","PTK2B",332,1,1222,0
"330","PTK6",333,1,1223,0
"331","RAF1",334,0,1243,0
"332","RET",335,2,1272,0
"333","RIPK1",336,0,1289,0
"334","RIPK2",337,1,1290,2
"335","RIPK3",338,2,1291,1
"336","RIPK4",339,1,1292,2
"337","RNASEL",340,0,1293,0
"338","ROCK1",341,2,1297,0
"339","ROCK2",342,1,1298,0
"340","ROR1",343,2,1299,0
"341","ROR2",344,3,1300,0
"342","ROS1",345,3,1301,2
"343","RPS6KA1",346,0,1306,0
"344","RPS6KA2",347,0,1307,0
"345","RPS6KA3",348,0,1308,0
"346","RPS6KA4",349,0,1309,0
"347","RPS6KA5",350,0,1310,0
"348","RPS6KA6",351,0,1311,0
"349","RPS6KB1",352,0,1312,0
"350","RPS6KB2",353,0,1313,2
"351","RYK",354,0,1322,0
"352","SBK1",355,1,1325,0
"353","SBK2",356,0,1326,0
"354","SGK1",357,0,1351,1
"355","SGK2",358,2,1353,0
"356","SGK3",359,2,1356,0
"357","SGK494",360,0,1357,0
"358","SIK1",361,1,1361,0
"359","SIK2",362,0,1362,0
"360","SIK3",363,0,1363,0
"361","SLK",364,0,1375,0
"362","SMG1",365,0,1383,0
"363","SNRK",366,0,1388,1
"364","SPEG",367,0,1402,0
"365","SRC",368,4,1407,0
"366","SRMS",369,2,1409,0
"367","SRPK1",370,0,1410,0
"368","SRPK2",371,0,1411,0
"369","SRPK3",372,0,1412,0
"370","STK10",373,2,1428,0
"371","STK11",374,7,1429,4
"372","STK16",375,1,1430,0
"373","STK17A",376,1,1431,0
"374","STK17B",377,1,1432,0
"375","STK24",378,3,1434,0
"376","STK25",379,1,1435,1
"377","STK26",380,2,1436,0
"378","STK3",381,3,1437,0
"379","STK32A",382,0,1439,0
"380","STK32B",383,4,1440,0
"381","STK32C",384,0,1441,0
"382","STK33",385,0,1442,1
"383","STK35",386,1,1443,0
"384","STK36",387,0,1444,1
"385","STK38",388,0,1445,0
"386","STK38L",389,1,1446,0
"387","STK39",390,0,1447,1
"388","STK4",391,1,1448,0
"389","SYK",392,0,1458,2
"390","TAOK1",393,1,1467,0
"391","TAOK2",394,3,1468,0
"392","TAOK3",395,1,1469,0
"393","TBK1",396,0,1471,1
"394","TEC",397,0,1481,0
"395","TEK",398,0,1482,2
"396","TESK1",399,2,1484,0
"397","TESK2",400,1,1485,0
"398","TGFBR1",401,6,1500,2
"399","TGFBR2",402,4,1501,1
"400","TIE1",403,3,1507,0
"401","TLK1",404,0,1510,0
"402","TLK2",405,0,1511,0
"403","TNIK",406,5,1540,1
"404","TNK1",407,0,1541,0
"405","TNK2",408,1,1542,0
"406","TNNI3K",409,0,1545,0
"407","TRIO",410,2,1578,0
"408","TSSK1B",411,4,1589,1
"409","TSSK2",412,1,1590,1
"410","TSSK3",413,1,1591,0
"411","TSSK4",414,1,1592,0
"412","TSSK6",415,2,1593,1
"413","TTBK1",416,1,1594,0
"414","TTBK2",417,1,1595,0
"415","TTK",418,6,1596,0
"416","TXK",419,1,1602,0
"417","TYK2",420,1,1603,0
"418","TYRO3",421,0,1604,0
"419","UHMK1",422,1,1608,0
"420","ULK1",423,3,1609,1
"421","ULK2",424,0,1610,1
"422","ULK3",425,0,1611,1
"423","VRK1",426,1,1624,1
"424","VRK2",427,3,1625,0
"425","WEE1",428,2,1630,0
"426","WEE2",429,2,1631,0
"427","YES1",430,2,1650,1
"428","ZAK",431,0,1653,1
"429","ZAP70",432,4,1654,1
